"baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000213714",5.86617702866035,0.586457735929229,0.489175130969737,0.173903152292806,0.265415415725164
"ENSG00000138109",0.670635011983202,-0.570644573103797,1.12419527423415,0.269865056672612,0.376507747100382
"ENSG00000158104",10.6465769763395,-0.566807311088317,0.593710330518833,0.241833926350954,0.345131991913739
"ENSG00000237330",2.49786366380639,-0.733565098896763,0.741214952784692,0.180098922176908,0.27281619976519
"ENSG00000196781",748.589114472089,-0.7240326935059,0.288753180786167,0.00865564950311532,0.0217396444833424
"ENSG00000145623",153.731606124533,-0.0260902055660859,0.28677489900593,0.922324301071742,0.946684603076879
"ENSG00000166579",824.10249985421,0.489174977625222,0.221339903964492,0.0238685332982292,0.0516344967430197
"ENSG00000149922",39.7097019404554,-1.05150008400611,0.435264927740835,0.00746718131262811,0.0191975533698474
"ENSG00000148459",49.6056068099673,0.217884267644832,0.186503842413606,0.236177392601976,0.338568881333038
"ENSG00000165389",381.819132067456,0.113198850103348,0.247733896427312,0.63924590078358,0.728511813440178
"ENSG00000198556",99.7446680234253,-0.923270436644785,0.215920584288489,1.1246110506147e-05,5.75944808129206e-05
"ENSG00000172819",102.84016334753,-1.30632070936375,0.267085827713756,4.0600323854406e-07,2.61265614381147e-06
"ENSG00000169252",39.7810248751109,-0.253834254821445,0.324192659179481,0.406114239176368,0.517060643100922
"ENSG00000118972",1.58387486294321,-1.21094324630093,1.0435963739554,0.0635453736663218,0.117009262210726
"ENSG00000101574",75.6727233393287,-0.744235418983855,0.190830708578587,6.9807509930481e-05,0.000300726618822993
"ENSG00000134283",484.769947108526,0.277403925013252,0.110597088103348,0.0117012152351685,0.0281561041382703
"ENSG00000177839",48.1810454682936,-1.29061909262074,0.310456987114013,1.26440137916053e-05,6.40565991518997e-05
"ENSG00000120278",311.450105831273,-0.144825496760967,0.24333811664268,0.53796542442237,0.641788941666464
"ENSG00000196757",64.0716149850757,0.727204851097913,0.217486261695696,0.000598100262377815,0.00207975517997041
"ENSG00000164291",81.8014155638343,-0.416878175795403,0.153128112083117,0.00593808682780709,0.0157391754872846
"ENSG00000102996",255.464958288366,-0.749489283841964,0.333473927880652,0.0169037055566807,0.0385374251724267
"ENSG00000141497",46.6473538192457,-0.826362113595422,0.346974425034386,0.0108486495577859,0.0264023399517649
"ENSG00000142494",227.547441523381,-0.588651171011881,0.614469488842246,0.23380887472307,0.335775056628501
"ENSG00000134709",320.483805599938,1.17516546683783,0.391185356432002,0.00118851002962863,0.00382590488101128
"ENSG00000160183",27.2547709918877,-4.74174966511769,0.93263126967309,2.781814891084e-08,2.1260824029087e-07
"ENSG00000256870",6.75804941703124,0.323772370748243,0.673081236926776,0.527161848923289,0.632151823030744
"ENSG00000152223",414.868886706947,0.16926492258506,0.136818616447322,0.204089944831376,0.301454128018582
"ENSG00000181378",52.7490369718365,-0.634082051938099,0.469776162661338,0.127358436750661,0.206697537953309
"ENSG00000238205",0.857059264740623,0.0790174722771874,0.88318630681261,0.80881522262736,0.864739048896271
"ENSG00000274443",13.7544906680478,2.65163478155387,0.587877986508064,5.60574249760657e-07,3.54042237299509e-06
"ENSG00000177311",853.521585731636,0.201894765793169,0.176032093372407,0.244901510797686,0.348453394275086
"ENSG00000066827",84.3229019830406,0.0714878052364608,0.178239043422954,0.684720117445002,0.765990546595122
"ENSG00000123240",1908.81043378313,0.535034905016759,0.162621292253674,0.000851485574646705,0.00285924782556565
"ENSG00000105325",1037.1190004813,0.127565194151187,0.103381325798791,0.215233263085045,0.314574716202106
"ENSG00000005073",0.968949953961506,-4.05719222789191,3.22378542194131,0.0286265990351461,0.0602261194897434
"ENSG00000169439",917.323668147211,-0.229315163876763,0.276167837836567,0.385252064201016,0.496662964030374
"ENSG00000014824",1177.94205412957,0.855950405424695,0.150052801951605,7.86264197206803e-09,6.42664566501413e-08
"ENSG00000167858",44.3401590430416,-1.53886676327048,0.827736158506396,0.0137226988435207,0.0322513360795588
"ENSG00000109919",715.682145862313,0.119782645774957,0.133270692124016,0.364005971487361,0.475322419034246
"ENSG00000152778",237.859695327039,-0.780247402782831,0.140395824731706,1.93153892043041e-08,1.50791945768625e-07
"ENSG00000122687",329.561385164758,0.494922968527802,0.125292781237458,6.87258504839965e-05,0.000296625812067389
"ENSG00000127362",1.80666022333021,2.94150104100927,1.20273923438831,0.0013860818147085,0.0043848296822682
"ENSG00000159147",107.771082494153,0.352384668018381,0.174739180641429,0.0408034224820576,0.0808791148628746
"ENSG00000196227",905.675861423004,0.307210722468164,0.18861266889917,0.0991381409295659,0.16850412004964
"ENSG00000141298",373.139440761393,0.0248870711241722,0.185638341815096,0.893271486783991,0.926801742268459
"ENSG00000105701",10134.3705988129,-0.21447375151244,0.128129717957097,0.100389112375029,0.170193575683259
"ENSG00000168461",2691.08896796776,-0.17015252344902,0.162537252184292,0.288826794033591,0.397316830987932
"ENSG00000124664",29.7611987731413,0.47967848096986,0.463251315494499,0.244719504015376,0.348225388304621
"ENSG00000266276",20.3588992075076,8.19465347257008,1.38711809405526,4.28010860084704e-19,7.67924417577983e-18
"ENSG00000173281",107.989862736578,0.344331774431818,0.390478221074879,0.341355209131355,0.452014625760235
"ENSG00000164751",323.283697454897,-0.661730111789215,0.195438301221893,0.000543279640768254,0.00190755756271504
"ENSG00000177692",19.3898214445762,3.33009701054928,0.51258629700165,9.38870908551808e-12,1.04635724376484e-10
"ENSG00000163171",243.358449005722,0.465015585959595,0.354877659286827,0.163621573239436,0.252589915898904
"ENSG00000125735",8.77390126919919,-5.50543681021803,1.15754303203051,2.54267013939809e-08,1.94982716391601e-07
"ENSG00000112033",984.735000140303,-0.14857513087193,0.125130647311414,0.230815067899228,0.332366609645663
"ENSG00000164967",280.006643197039,-0.162518873036962,0.124305861661418,0.187253524836414,0.281575252417737
"ENSG00000088387",1431.69693599513,0.224229143104466,0.204475093676788,0.262350891495551,0.368323051432459
"ENSG00000169564",2150.85809553609,1.0714457653688,0.168579358290741,1.11775462536221e-10,1.14523335622899e-09
"ENSG00000102241",1569.28449357762,0.0960929339886581,0.151891749758837,0.525627613390891,0.630737371575903
"ENSG00000169508",40.1075890979944,-0.863693363359523,0.706489839109245,0.108978209145747,0.181903135082242
"ENSG00000118690",51.2610704610939,-0.64877517386729,0.397610643905452,0.0754697696009553,0.134470963337084
"ENSG00000166897",1168.96008947276,0.586125369000638,0.405307559861458,0.114585298716777,0.189483686780667
"ENSG00000179023",2.05521817712214,-0.221035857065653,0.682966663546365,0.664235029079509,0.749681331814412
"ENSG00000186010",1487.29799630144,6.96481981776357,0.243746683481631,9.21435971083991e-181,8.67450663601659e-178
"ENSG00000110697",1943.20595179668,0.0784880427622967,0.395694097613618,0.838822474991268,0.886809016366776
"ENSG00000176531",78.0485993570456,-0.911628619634944,0.322111202339775,0.00275067476513942,0.00804198007696224
"ENSG00000172115",1523.91993711916,-0.627363118434152,0.19278598843289,0.000897425438101556,0.00299528607119443
"ENSG00000105520",2153.20613629217,-0.511764946669769,0.415939572153413,0.17232055168557,0.263376765273218
"ENSG00000166619",2728.8416841385,0.458479590887809,0.224100961828819,0.0368245906969091,0.074271045937408
"ENSG00000213588",53.1880239506567,12.0624275130174,3.01072198293207,1.28281146678552e-43,5.38848155234528e-42
"ENSG00000180964",625.336650141743,0.271241194380545,0.141887664137482,0.0536425162886268,0.101693299062211
