"SRR8750453","SRR8750454","SRR8750455","SRR8750456","SRR8750457","SRR8750458","SRR8750459","SRR8750460","SRR8750461","SRR8750462","SRR8750637","SRR8750638","SRR8750639","SRR8750640","SRR8750641","SRR8750642","SRR8750643","SRR8750644","SRR8750645","SRR8750646"
"Arthur1",308.879322271812,376.85970213455,320.637800885428,339.535259823267,319.692774532132,329.231952558011,326.804774874161,323.453431635725,349.871324695217,331.234620157563,349.640882963524,272.608520076094,346.472248950858,293.463711493038,331.385506349114,211.673275488706,210.859566016031,286.958984435823,303.41709456464,279.219598855038
"Arthur1A",173.877147091226,184.806200085212,199.31538973959,188.963969689628,190.477176452317,185.361361178324,156.564480892095,150.823791155984,192.615330350824,163.230893507041,109.823097853927,130.013294190137,109.412289142376,126.189395942006,121.755058243285,216.113973575881,270.885281889208,149.438704354758,241.020837214653,122.856623496217
"Arthur1B",329.377034733786,316.163548184995,335.493606331857,315.539835100775,320.207577711733,297.440323751263,309.356323690404,322.544854580568,274.500108470981,285.415421980148,259.989374511338,220.183804676845,213.213691662067,228.90169496457,236.098939028283,226.475602445958,213.937807855681,305.295021779965,234.903557082302,245.713246992434
"Arthur1C",77.0431261501773,62.5079794405863,95.9437435081878,86.9834146190349,77.2204769401286,61.9667341148465,74.0380225905387,96.3091678465922,71.6491808551375,75.4107636669957,392.225349478312,381.651928106531,297.376991002356,243.574880539222,366.323914366753,547.686097418329,658.743753685119,233.784476137811,412.304680920498,466.296730087914
"BLACKJACK",249.506637899198,266.338347181629,227.170024951645,307.141436447903,281.597339241669,292.590753255319,306.526845120065,297.558985563764,272.639090786432,242.459923688822,215.163620285246,251.638633916394,239.865403119825,252.378791884013,272.096086682819,226.475602445958,287.815612007283,249.370107880332,232.456645029361,203.830307164178
"BSR/Beta",274.95207405889,318.881286421542,344.159492842274,253.751616440357,189.962373272716,294.746117920183,359.34377843306,228.507129371867,193.545839193099,393.281451022813,567.045790960074,375.360962258621,388.553898621003,446.064841469418,357.853997271568,190.950017748553,306.285063045184,639.927703310557,663.113166346914,379.738654442852
"CER",18.3772594486662,20.8359931468621,19.8077405952388,25.195195958617,12.3552763104206,14.5487114878335,46.6863964105945,18.1715411031306,23.2627210568628,33.4098320043652,82.9276453182717,94.3644877186478,77.149691061932,63.0946979710032,37.0558872914345,8.88139617435128,18.4694510379005,73.3441493765681,75.8542736411599,89.3502716336122
"CR1_Mam",347.754294182452,375.047876643518,337.35058201266,337.135717351018,316.089152274926,379.88302218232,426.308104597751,326.633451328773,441.991700080393,365.599018790625,170.337866059153,260.026588380274,301.58515596937,305.20225995276,308.093234337356,358.216312365502,377.084625357136,261.288532154024,286.288710194055,226.167875072581
"Charlie10",164.688517366893,262.714696199566,194.982446484382,208.760195085684,143.115283929038,211.76457832291,229.187764197464,181.261122503728,197.267874562197,224.323157743595,183.785592326981,182.438009589386,218.824578284753,214.228509389918,249.862554307958,193.910483140003,233.946379813407,140.270685682687,198.199876288192,240.128855015333
"Charlie10a",41.7022425950501,36.2365098206298,51.9953190625018,39.5924507921125,42.2138607272703,39.3354051337721,45.7432368871481,34.0716395683699,32.5678094796079,54.4102978356804,31.378027958265,37.7457950874591,50.4979796041737,49.8888309538165,44.4670647497214,34.0453520016799,69.260441392127,38.5056784226983,31.8098566882284,33.5063518626046
"Charlie10b",33.9272482129221,40.7660735482085,24.1406838504472,38.3926795559878,29.8585844168497,31.2527876405313,31.5958440354528,30.891619875322,43.7339155869021,37.2280985191498,24.6541648243511,39.8427837034291,37.8734847031302,51.3561495112817,30.7034494700457,35.5255846974051,23.0868137973757,31.1712634850415,42.8209609264613,27.9219598855038
"Charlie11",10.6022650665382,10.8709529461889,12.9988297656254,7.19862741674772,13.3848826696223,14.5487114878335,7.54527618757082,16.8086755203958,14.8881414763922,11.4547995443538,8.96515084521857,6.29096584790985,5.61088662268596,7.33659278732595,5.29369818449064,29.6046539145043,20.0085719577256,13.7520280081065,13.4580162911735,5.58439197710076
"Charlie12",14.1363534220509,25.3655568744408,9.90387029761938,13.7973692154331,5.66283497560943,11.8545056567533,15.0905523751416,5.45146233093918,13.9576326341177,21.0004658313153,6.72386313391392,10.4849430798498,2.80544331134298,7.33659278732595,9.52865673208316,4.44069808717564,1.53912091982505,6.41761307044971,4.89382410588129,22.337567908403
"Charlie13a",91.8862972433308,99.6504020067319,73.6600353385442,118.177466758275,82.3685087361372,94.836045254026,93.3727928211889,98.5806104844836,103.286481492471,112.638862186145,87.410220740881,140.498237269987,81.3578560289465,114.450847482285,111.167661874304,204.27211201008,130.825278185129,79.7617624470178,117.451778541151,103.311251576364
"Charlie13b",58.6658667015112,41.6719862937242,54.4712866369066,46.1911925907979,57.1431529356952,44.1849756297167,50.9306142661031,49.9717380336092,41.8728979023531,52.5011645782881,78.4450698956625,58.7156812471586,75.7469694062605,64.5620165284684,39.1733665652308,47.3674462632069,38.4780229956261,77.0113568453965,90.5357459588038,64.2205077366588
"Charlie14a",47.3567839638705,63.4138921861021,76.136002912949,57.5890193339818,47.8766957028797,62.5055752810626,57.0611511685043,51.7888921439222,83.7457958047061,59.1831309791612,51.5496173600068,31.4548292395493,37.8734847031302,32.2810082642342,48.7020232973139,38.4860500888556,53.8692321938766,38.5056784226983,40.3740488735206,27.9219598855038
"Charlie15a",532.233706340216,552.606774764604,526.14310956103,523.700144568397,437.067899481128,569.016271524156,489.97137243038,432.936966782087,535.042584307845,574.649110475081,437.051103704405,348.100110251012,312.806929214742,462.205345601535,395.9686241999,522.522141591001,597.178916892118,395.141604766261,491.829322641069,376.946458454301
"Charlie16a",195.081677224302,194.771240285885,186.935551867566,206.960538231497,167.825836549879,213.381101821559,208.438254681644,167.178178148802,231.696701726354,265.369522777529,421.362089725273,356.488064714892,363.304908818916,315.473489855016,261.508690313838,304.927935319394,341.68484420116,278.707767630959,335.226951252868,446.751358168061
"Charlie17a",154.086252300355,142.228301045972,149.796038251493,162.569002494886,141.570874390236,145.487114878335,157.979220177264,148.098059990514,150.742432448471,181.367659452268,179.303016904371,169.856077893566,157.104825435207,198.088005257801,154.575986987127,146.543036876796,140.060003704079,178.776364105385,264.26650171759,153.570779370271
"Charlie18a",407.833796226168,450.238634521325,464.243920200909,377.328053761193,409.783330962282,425.684521310685,445.171295066679,394.322441937934,490.378159878668,486.828980635036,439.29239141571,482.307381673089,429.232826635476,516.496132227747,426.672073669946,484.036091502145,464.814517787164,429.063273852924,452.678729794019,510.97186590472
"Charlie19a",229.715743108327,175.747072630054,204.2673248884,193.763054634126,181.725522399103,175.123379020218,207.495095158198,160.818138762706,214.017033723138,232.91425740186,302.573841026127,371.166985026681,294.571547691013,311.07153418262,309.151973974254,346.3744507997,298.589458446059,275.04056016213,363.366439861686,268.050814900837
"Charlie1",542.835971406754,519.993915926037,460.529968839301,445.715014220296,453.541601228355,478.490955599858,472.0513414849,345.71356948706,567.610393787453,562.239744302031,735.142369307922,645.872493718745,678.917281345001,620.675749807776,597.129155210545,424.826783673136,444.805945829438,544.580309121018,572.577420388111,742.724132954401
"Charlie1a",1186.04005211007,1359.77503101913,1211.36713577757,1288.55430759784,1150.58510640792,1222.09176497802,1275.62325546119,1069.39519391924,1478.5785503742,1391.75814463898,1562.17753477934,1522.41373519418,1528.96660468192,1655.13533282074,1672.80862629904,1900.61878131117,1882.34488494603,1424.71010163984,1673.6878442114,1672.52539714168
"Charlie1b",545.663242091164,457.485936485451,536.66597175225,523.700144568397,421.623804093102,493.039667087692,512.607200993093,417.491156844426,713.700282024551,548.875811500285,576.010941805293,543.120051536217,483.938971206664,560.515688951703,460.551742050686,716.432624731004,749.551887954797,489.572197088592,633.750221711627,550.062609744425
"Charlie20a",129.347633811766,123.204133390141,105.847613805807,125.376094175023,122.008353565403,112.07896257294,124.025477333195,119.932171280662,157.255994344393,116.45712870093,129.994687255669,134.207271422077,148.688495501178,139.395262959193,131.283714975368,130.260477223819,163.146817501455,120.10104460413,118.675234567621,111.687839542015
"Charlie21a",108.849921349792,120.486395153594,91.6108002529793,100.180898216406,98.8422104833646,97.5302510851063,114.593882098732,97.672033429327,119.105131811138,111.684295557449,69.4799190504439,71.2976129429783,91.1769076186469,86.5717948904463,84.6991709518503,121.379081049468,112.355827147228,98.0977997911599,115.00486648821,97.7268595992633
"Charlie22a",127.227180798458,142.228301045972,113.894508422623,118.777352376337,120.463944026601,118.545056567532,125.911796380088,113.572131894566,114.452587599765,167.049160021826,246.541648243511,222.280793292815,217.421856629081,157.003085648775,146.106069891942,195.390715835728,193.929235897956,181.526769707006,184.741859997019,206.622503152728
"Charlie23a",145.604440247124,169.405683411444,143.606119315481,140.973120244643,120.978747206201,146.564797210767,166.939235650004,111.300689256675,154.464467817569,188.049625853141,192.750743172199,226.474770524755,232.851794841467,192.21873102794,205.395489558237,106.576754092215,164.68593842128,145.771496885929,218.998628738188,212.206895129829
"Charlie24",198.615765579815,206.54810597759,179.507649144351,191.363512161877,197.684420966729,203.681960829669,257.954129662577,203.975548882641,268.917055417334,290.188255123629,161.372715213934,209.698861596995,138.869443911478,155.53576709131,183.161957183376,278.28374679634,287.815612007283,177.859562238178,196.976420261722,173.116151290124
"Charlie25",143.483987233817,144.946039282519,130.607289549856,170.967401147758,184.814341476708,160.035826366169,145.718146372462,140.829443549262,145.159379394824,126.002794987892,103.099234720014,115.334373878347,100.995959208347,101.244980465098,121.755058243285,134.701175310994,153.912091982505,103.598610994402,156.602371388201,97.7268595992633
"Charlie26a",31.099977528512,53.4488519854289,48.2813677008945,53.9897056256079,44.2730734456737,50.1122284580933,41.9705987933627,50.4260265611874,39.0813713755295,33.4098320043652,56.032192782616,33.5518178555192,25.2489898020868,63.0946979710032,49.7607629342121,45.8872135674816,44.6345066749263,44.923291493148,42.8209609264613,41.8829398282557
"Charlie2a",275.658891729992,326.128588385668,250.072725014889,270.548413746102,259.460802518832,295.284959086399,282.476277272183,238.955765506168,297.762829527844,321.688953870602,497.56587190963,476.016415825179,439.051878225177,431.391655894766,422.437115122353,344.894218103975,407.867043753637,331.882275928971,441.667625555786,379.738654442852
"Charlie2b",458.017850874449,481.03966786886,446.912147180075,510.502660971026,455.600813946759,441.849756297167,477.238718863855,426.122638868413,543.417163888315,461.05568166024,638.766997721823,524.247153992488,549.866889023224,473.943894061257,488.078972610037,561.008191679856,520.222870900865,491.405800823006,559.119404096937,519.348453870371
"Charlie3",129.347633811766,125.015958881173,102.1336624442,133.174607209833,122.523156745004,127.166515226989,136.286551137998,126.746499194336,140.506835183451,93.5475296122225,201.715894017418,163.565112045656,164.118433713564,170.208952665962,184.220696820274,179.108156182751,133.903520024779,165.941137964485,188.41222807643,195.453719198527
"Charlie4",16.2568064353585,27.1773823654723,25.3786676376497,16.7967973057447,9.78126041241629,16.1652349864817,16.5052916603112,18.1715411031306,25.1237387414118,21.0004658313153,132.235974966974,171.953066509536,144.480330534164,211.293872274987,183.161957183376,223.515137054507,163.146817501455,158.606723026829,204.317156420544,217.79128710693
"Charlie4a",464.379209914372,504.593399252269,453.721058009688,454.713298491231,421.623804093102,484.957049594451,531.47039146202,440.659871750917,535.973093150119,562.239744302031,620.836696031386,668.939368494414,610.183920217098,724.855367387804,578.071841746378,701.630297773752,637.196060807569,579.418780074888,654.548974161622,790.191464759758
"Charlie4z",726.608565893416,843.404766075158,708.126726279786,743.258280779202,648.65200629708,710.731498238979,753.112879471913,576.946430024397,777.905392141492,844.791466396091,995.131743819261,970.905729194087,1080.09567486705,1087.28305108171,974.040465946279,1215.2710431904,1143.56684343001,894.798622394131,1077.86475932035,1066.61886762625
"Charlie5",814.253957110131,822.568772928296,605.993063835586,583.088820756565,494.725855596424,828.198872474079,766.788692561885,416.582579789269,726.727405816394,1082.47855694143,2191.97938165594,1983.75123070757,1718.33402819758,1307.38083470148,2051.83741630857,710.511693948103,717.230348638471,1038.73651554565,1841.30131983783,2088.56259943569
"Charlie6",40.288607252845,40.7660735482085,46.4243920200909,54.5895912436702,64.3503974501072,40.9519286324203,44.8000773637018,51.334603616344,42.8034067446276,29.5915654895806,129.994687255669,132.110282806107,120.634062387748,57.2254237411424,103.756484416017,66.6104713076346,52.3301112740515,62.3425269700829,67.2900814558677,100.519055587814
"Charlie7",513.85644689155,538.112170836352,503.859401391386,481.108265685973,462.29325528157,502.738808079581,490.914531953827,447.019911137013,551.791743468786,522.147945896793,479.635570219193,482.307381673089,493.758022796365,529.701999244934,551.603350823925,558.047726288406,572.552982174917,495.073008291835,612.951469261631,497.010885961968
"Charlie7a",146.311257918227,198.394891267948,180.745632931554,165.568430585198,138.996858492231,186.977884676972,167.410815411728,145.826617352623,168.422100451687,212.868358199241,156.890139791325,142.595225885957,154.299382123864,121.787440269611,158.810945534719,207.23257740153,147.755608303204,138.437081948272,171.283843705845,156.362975358821
"Charlie8",475.688292652012,506.405224743301,553.997744773084,539.897056256079,497.814674674029,491.423143589044,527.697753368234,436.116986475135,530.390040096472,588.967609905523,1089.26582769406,1058.97925106483,1105.34466466913,1214.93976558118,1087.32560709438,1175.30476040582,1138.94948067053,856.292943971433,922.485843958623,1167.13792321406
"Charlie9",135.002175180586,147.663777519066,152.272005825898,149.971404515577,119.949140847,129.86072105807,189.575064212717,136.740846801058,155.394976659844,194.731592254014,239.817785109597,190.825964053266,241.268124775496,184.882138240614,222.335323748607,222.034904358782,220.094291534981,217.282042528083,215.328260658777,228.960071061131
"Cheshire",294.742968849761,373.236051152487,240.787846610871,267.54898565579,218.791351330364,329.770793724227,310.771062975573,216.695627654833,379.647607648001,421.918449883697,667.903737968783,553.604994616067,486.744414518007,479.813168291117,548.427131913231,324.170960363822,424.797373871712,425.396066384095,652.102062108681,633.828489400937
"D20S16",21.9113478041789,21.7419058923779,15.4747973400303,10.1980555070593,7.207244514412,12.9321879891854,19.3347702306502,13.1743672997697,34.428827164157,35.3189652617575,35.8606033808743,31.4548292395493,21.0408248350724,20.5424598045127,19.0573134641663,19.2430250444278,0,19.2528392113491,28.1394886088174,33.5063518626046
"DNA1_Mam",26.8590715018967,25.3655568744408,27.2356433184533,23.9954247224924,19.0477176452317,22.0924878148583,20.2779297540966,20.8972722686002,25.1237387414118,27.6824322321883,35.8606033808743,23.0668747756695,11.2217732453719,19.0751412470475,17.9985738272682,56.2488424375581,20.0085719577256,18.336037344142,26.9160325823471,8.37658796565114
